City,Body_Type,Kilometers_driven,ownerNo,oem,model,modelYear,Displacement,variantName,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_LPG,Fuel Type_Petrol,Transmission_Manual,City_encode,Body_Type_encode,oem_encode,model_encode,variantName_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Bangalore,SUV,70000,1,Hyundai,Hyundai Creta,0.8684210526315752,1591,1.6 VTVT AT SX Plus,Third Party insurance,4.0,Others,4.0,VTVT Petrol Engine,5,0.041509433962264156,151.0,-2.3876771287896017,121.3,False,False,False,True,False,0,2,6,28,245,4,53,147
Bangalore,Hatchback,10000,2,Hyundai,Hyundai Grand i10 Nios,0.9473684210526301,1197,Sportz,Third Party insurance,4.0,Others,4.0,1.2 Kappa petrol,5,0.09962264150943397,113.8,-2.7219518338080375,81.86,False,False,False,True,True,0,0,6,31,573,4,53,3
Bangalore,Sedan,50000,1,Fiat,Fiat Linea,0.6315789473684177,1368,Emotion Pack,Third Party insurance,4.0,Others,4.0,Front Wheel Drive,5,0.06415094339622641,115.0,-3.5332016271848223,90.0,False,False,False,True,True,0,3,3,9,402,4,53,74
Bangalore,Hatchback,77995,1,Maruti,Maruti Baleno,0.8421052631578902,1197,1.2 CVT Alpha,Comprehensive,4.0,Silver,4.0,VVT Petrol Engine,5,0.10490566037735848,115.0,-2.6845549211976296,83.1,False,False,False,True,False,0,0,11,43,10,1,69,152
Bangalore,Sedan,40908,1,Maruti,Maruti Ciaz,0.9210526315789451,1462,Delta BSVI,Comprehensive,4.0,Blue,4.0,K15 Smart Hybrid Petrol Engine,5,0.09924528301886791,138.0,-2.5186400859256097,103.25,False,False,False,True,True,0,3,11,45,365,1,6,89
Bangalore,Hatchback,39693,2,Hyundai,Hyundai Grand i10,0.8157894736842053,1197,Asta Option AT,Comprehensive,4.0,Red,4.0,Kappa VTVT Petrol Engine,5,0.08603773584905659,114.0,-2.967233516279849,82.0,False,False,False,True,False,0,0,6,30,331,1,67,102
Bangalore,Sedan,40000,1,Hyundai,Hyundai Verna,0.6578947368421026,1599,Transform VTVT,Third Party insurance,4.0,Others,4.0,Petrol,5,0.06566037735849056,14.9,-3.33894408893019,103.2,False,False,False,True,True,0,3,6,33,603,4,53,107
Bangalore,Hatchback,63411,1,Maruti,Maruti Swift,0.8157894736842053,1197,VXI,Comprehensive,4.0,White,4.0,K Series Dual jet,5,0.11230188679245283,113.0,-2.841554647618433,88.5,False,False,False,True,True,0,0,11,52,656,1,82,83
Bangalore,Hatchback,30000,1,Maruti,Maruti Swift,0.8684210526315752,1197,LXI 2018,Third Party insurance,4.0,Others,4.0,VTVT Engine,5,0.10943396226415093,113.0,-2.8948428781654547,81.8,False,False,False,True,True,0,0,11,52,459,4,53,146
Bangalore,Hatchback,94221,2,Hyundai,Hyundai Grand i10,0.7631578947368425,1197,Sportz,Comprehensive,4.0,Red,4.0,Kappa VTVT Petrol Engine,5,0.08603773584905659,114.0,-3.2734568552709478,82.0,False,False,False,True,True,0,0,6,30,573,1,67,102
Bangalore,Hatchback,93975,1,Hyundai,Hyundai i20,0.8421052631578902,1197,1.2 Asta Option,Third Party insurance,4.0,White,4.0,Kappa VTVT Petrol Engine,5,0.08377358490566038,114.7,-2.7960794692997655,81.83,False,False,False,True,True,0,0,6,36,8,4,82,102
Bangalore,Hatchback,61263,1,Maruti,Maruti Baleno,0.8157894736842053,1248,1.3 Alpha,Third Party insurance,4.0,Red,4.0,DDiS Diesel Engine,5,0.15011320754716984,190.0,-2.5967586182614055,74.0,True,False,False,False,True,0,0,11,43,83,4,67,62
Bangalore,SUV,65507,2,Honda,Honda WR-V,0.8421052631578902,1199,i-VTEC VX,Third Party,4.0,White,4.0,i-VTEC Petrol Engine,5,0.07547169811320754,110.0,-2.6440902038133487,88.7,False,False,False,True,True,0,2,5,25,783,3,82,167
Bangalore,SUV,100000,1,Renault,Renault Duster,0.7631578947368425,1461,85PS Diesel RxL Optional,Third Party insurance,4.0,Others,4.0,dCi Diesel Engine,5,0.09781132075471698,200.0,-2.923561834549906,83.8,True,False,False,False,True,0,2,14,64,284,4,53,157
Bangalore,SUV,26158,1,Honda,Honda WR-V,0.8421052631578902,1199,i-VTEC VX,Comprehensive,4.0,Silver,4.0,i-VTEC Petrol Engine,5,0.07547169811320754,110.0,-2.522534480200826,88.7,False,False,False,True,True,0,2,5,25,783,1,69,167
